,rid,smiles,category
1081,R1000381,[*]CC([*])P(=O)(Oc1ccccc1)N(C)C,known
1082,R1000382,[*]CC([*])c1nc(C)nc(C)n1,known
1084,R1000383,[*]CC([*])OC(=O)CCCCCCCCC,known
1085,R1000384,[*]CC([*])OC(=O)CCCCC,known
1086,R1000385,[*]C1Cc2ccccc2C1[*],known
1088,R1000386,[*]C(C)=C([*])c1ccccc1,known
1090,R1000387,[*]CC(OC)C1C(=O)OC(=O)C1[*],known
1092,R1000388,[*]CC(OC)C(C(=O)O)C([*])C(=O)O,known
1095,R1000389,[*]C#CC(OS(=O)(=O)c1ccc(C)cc1)=C([*])OS(=O)(=O)c1ccc(C)cc1,known
1096,R1000390,[*]CCCC=C([*])c1ccc(OC)cc1,known
1099,R1000391,[*]CCCC=C([*])c1ccccc1,known
1102,R1000392,[*]CCCC=C([*])c1ccc(Cl)cc1,known
1105,R1000393,[*]CC1CC([*])C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,known
1106,R1000394,[*]CC1CC([*])C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,known
1107,R1000395,[*]CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1[*],known
1108,R1000396,[*]CC([*])n1ccnc1,known
1111,R1000397,[*]CC([*])OC(=O)CCCCCCCCCCCCCCCCCCCCC,known
1112,R1000398,[*]CC([*])OCCCCCCCCCCCCCCCCCC,known
1113,R1000399,[*]CC([*])OC(=O)c1ccc(C#N)cc1,known
1114,R1000400,[*]CC([*])OCC(C)(C)CC(C)C,known
1115,R1000401,[*]C(F)(F)C([*])(F)OC(F)C(F)F,known
1116,R1000402,[*]CC([*])C(=O)c1ccc(Br)cc1,known
1118,R1000403,[*]CC([*])OC(=O)CC1CCCC1,known
1121,R1000404,[*]CC([*])N1CCCC1=O,known
1133,R1000405,[*]CCC1CC2C(CC([*])C2OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,known
1134,R1000406,[*]CC([*])C(=O)O,known
1143,R1000407,[*]CC([*])C(=O)OC,known
1151,R1000408,[*]CC([*])C(=O)OCC,known
1162,R1000409,[*]CC([*])C(=O)OCCC,known
1164,R1000410,[*]CC([*])C(=O)OC(C)C,known
1171,R1000411,[*]CC([*])C(=O)OCCCC,known
1179,R1000412,[*]CC([*])C(=O)OCC(C)C,known
1184,R1000413,[*]CC([*])C(=O)OC(C)CC,known
1186,R1000414,[*]CC([*])C(=O)OC(C)(C)C,known
1192,R1000415,[*]CC([*])C(=O)OCCCCCC,known
1195,R1000416,[*]CC([*])C(=O)OCCCCCCC,known
1197,R1000417,[*]CC([*])C(=O)OCCCCCCCC,known
